Deal_id,Deal_created_at,Deal_Value,Deal_Stage,Deal _Status,Deal_Email_messages_count,Deal_Total_activities,Deal_Currency,Deal_Region
Adlud_deal_d233,27/03/2020 11:56,117647,Contacted,Won,0,0,HKD,APAC & RESELLERS
Adlud_deal_d234,16/07/2020 10:57,117647,Contacted,Won,0,0,HKD,APAC & RESELLERS
Adlud_deal_d235,24/08/2020 10:42,117647,Contacted,Won,0,0,HKD,APAC & RESELLERS
Adlud_deal_d236,19/11/2019 09:03,117647,Contacted,Won,0,0,HKD,APAC & RESELLERS
Adlud_deal_d237,05/03/2020 10:12,117647,Contacted,Won,0,0,HKD,APAC & RESELLERS
Adlud_deal_d238,12/03/2020 12:13,117647,Contacted,Won,0,0,HKD,APAC & RESELLERS
Adlud_deal_d239,06/07/2020 12:40,117647,Contacted,Won,0,0,HKD,APAC & RESELLERS
Adlud_deal_d240,13/10/2020 04:18,117647,Contacted,Won,0,0,HKD,APAC & RESELLERS
Adlud_deal_d241,09/11/2020 06:50,117647,Contacted,Won,0,0,HKD,APAC & RESELLERS
Adlud_deal_d242,02/10/2020 21:13,117143,Contacted,Won,0,0,USD,US
Adlud_deal_d243,23/04/2019 12:07,116340,IO Sent,Deleted,2,5,GBP,US
Adlud_deal_d244,09/04/2020 09:44,110000,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d245,19/11/2019 09:06,110000,Contacted,Won,0,2,HKD,APAC & RESELLERS
Adlud_deal_d096,28/05/2019 22:04,110000,RFP,Won,0,0,USD,US
Adlud_deal_d246,07/07/2020 00:54,110000,RFP,Won,0,0,USD,US
Adlud_deal_d247,26/08/2019 10:25,105882,Contacted,Won,0,9,HKD,APAC & RESELLERS
Adlud_deal_d248,03/12/2019 06:25,101000,Contacted,Won,0,0,HKD,APAC & RESELLERS
Adlud_deal_d249,21/11/2019 21:13,100000,RFP,Deleted,0,0,USD,US
Adlud_deal_d250,06/12/2019 18:29,100000,IO Sent,Deleted,3,2,USD,US
Adlud_deal_d007,06/12/2019 15:28,100000,IO Sent,Deleted,0,2,USD,US
Adlud_deal_d251,20/03/2019 17:59,100000,IO Sent,Deleted,2,0,GBP,US
Adlud_deal_d252,28/05/2019 22:03,100000,RFP,Deleted,0,0,USD,US
Adlud_deal_d253,23/12/2020 07:07,100000,RFP,Deleted,0,0,SGD,APAC & RESELLERS
Adlud_deal_d254,09/07/2020 09:59,100000,IO Sent,Deleted,1,0,HKD,APAC & RESELLERS
Adlud_deal_d255,18/09/2019 14:54,100000,Contacted,Lost,0,1,HKD,APAC & RESELLERS
Adlud_deal_d256,20/03/2020 05:49,100000,Contacted,Lost,0,1,HKD,APAC & RESELLERS
Adlud_deal_d257,05/05/2020 07:25,100000,Contacted,Lost,0,1,HKD,APAC & RESELLERS
Adlud_deal_d258,09/07/2020 07:15,100000,Contacted,Lost,0,1,HKD,APAC & RESELLERS
Adlud_deal_d259,24/06/2019 18:43,100000,RFP,Lost,0,0,USD,US
Adlud_deal_d260,12/11/2019 16:12,100000,RFP,Lost,0,0,GBP,UK & EUROPE
Adlud_deal_d261,21/11/2019 21:14,100000,RFP,Lost,0,0,USD,US
Adlud_deal_d262,25/11/2019 21:04,100000,RFP,Lost,0,0,USD,US
Adlud_deal_d263,14/01/2020 23:46,100000,RFP,Lost,0,0,USD,US
Adlud_deal_d264,17/03/2020 11:50,100000,RFP,Lost,0,0,USD,US
Adlud_deal_d265,25/03/2020 21:02,100000,RFP,Lost,0,0,USD,US
Adlud_deal_d266,16/10/2020 22:13,100000,RFP,Lost,0,0,USD,US
Adlud_deal_d267,23/10/2020 00:06,100000,RFP,Lost,0,0,USD,US
